,sentiment_score,tweet_volume,Close,Volume,Volatility
2022-03-10,0.24131656590084644,1654,39437.4609375,31078064711,0.05363444477455023
2022-03-14,0.2488589189189189,185,39666.75390625,24322159070,0.048287298503638165
2022-03-15,0.2524191287878788,1584,39338.78515625,23934000868,0.04831505653305689
2022-03-16,0.24523303167420815,2210,41143.9296875,39616916192,0.039004194291462194
2022-03-17,0.24117369727047147,1209,40951.37890625,22009601093,0.029652682535788746
2022-03-18,0.19954140926640926,1036,41801.15625,34421564942,0.0283362503129751
2022-03-19,0.29752323856613105,809,42190.65234375,19664853187,0.028126547638915825
2022-03-20,0.3138036105032823,914,41247.82421875,20127946682,0.027062583246596866
2022-03-21,0.28233219373219376,1404,41077.99609375,24615543271,0.02250507503850754
2022-03-22,0.10085,2,42358.80859375,32004652376,0.023482313550536572
2022-03-23,0.2358650793650794,1323,42892.95703125,25242943069,0.017917467308961557
2022-03-24,0.20880905093440824,2729,43960.93359375,31042992291,0.01843134325092145
2022-04-13,0.2368053787047201,911,41166.73046875,27691105228,0.031113798651895324
2022-04-14,0.2543935528120713,1458,39935.515625,24342001973,0.03158852297005349
2022-04-15,0.24710901803607216,1996,40553.46484375,21756855753,0.03212755248323217
2022-04-16,0.2802543067710732,2171,40424.484375,16833150693,0.031280754576727174
2022-04-17,0.1669672131147541,427,39716.953125,19087633042,0.031443984721735437
2022-04-18,0.23789074416882638,2701,40826.21484375,33705182072,0.022250991495513763
2022-04-19,0.2807501781895937,2806,41502.75,25303206547,0.022354159366619143
2022-04-20,0.25687651663405087,511,41374.37890625,27819532341,0.02044885307668511
2022-04-21,0.21762759544541194,1493,40527.36328125,35372786395,0.018275072488176586
2022-04-22,0.24934144769459593,2017,39740.3203125,28011716745,0.01881672582289137
2022-04-27,0.1911204724409449,127,39241.12109375,30981015184,0.029788062021158798
2022-04-28,0.22250924170616115,1266,39773.828125,33903704907,0.030028588607136173
2022-04-29,0.21038216783216784,1144,38609.82421875,30882994649,0.031173726499968434
2022-04-30,0.25537002141327625,1868,37714.875,23895713731,0.032049609527281905
2022-05-01,0.22939799744354497,2347,38469.09375,27002760110,0.033546172133928506
2022-05-02,0.2172859989229941,1857,38529.328125,32922642426,0.03135503283403442
2022-05-10,0.20641107644305776,641,31022.90625,59811038817,0.05611320417715923
2022-05-11,0.1280231914893617,940,28936.35546875,70388855818,0.04563303655549848
2022-05-12,0.12059136137494346,2211,29047.751953125,66989173272,0.04561086324701804
2022-05-13,0.1589615965989608,2117,29283.103515625,42841124537,0.04776475181549295
2022-05-22,0.2386594309799789,949,30323.72265625,21631532270,0.042684352741530984
2022-05-23,0.24987918367346937,245,29098.91015625,31483454557,0.04179087881962048
2022-05-24,0.18639360824742265,970,29655.5859375,26616506245,0.04181531610985985
2022-05-25,0.15403424460431653,695,29562.361328125,27525063551,0.03479946837670849
2022-05-26,0.14532001943634598,1029,29267.224609375,36774325352,0.026714742722607383
2022-05-27,0.18757940298507464,670,28627.57421875,36582005748,0.02421617273496982
2022-05-28,0.13418346456692914,254,28814.900390625,35519577634,0.02412160681777434
2022-05-29,0.18732941176470588,833,29445.95703125,18093886409,0.022348323444328015
2022-05-30,0.22800467289719625,963,31726.390625,39277993274,0.032442866675911446
2022-05-31,0.2053608884073673,923,31792.310546875,33538210634,0.03253386331768766
2022-06-01,0.18374661016949154,1180,29799.080078125,41135817341,0.042830505483997305
2022-06-02,0.1608981707317073,492,30467.48828125,29083562061,0.04308069640404063
2022-06-03,0.21627987301587304,1575,29704.390625,26175547452,0.043446658066226246
2022-06-04,0.18629910714285713,336,29832.9140625,16588370958,0.04345091074674633
2022-06-14,0.15180659340659342,819,22206.79296875,50913575242,0.05294950709382988
2022-06-15,0.11359187817258883,2955,22572.83984375,54912007015,0.05795725376187707
2022-06-17,0.14389229885057472,870,20471.482421875,27132421514,0.06279785483230883
2022-06-18,0.08962236260265319,1583,19017.642578125,42009436760,0.0624974027880116
2022-06-19,0.1046120765832106,679,20553.271484375,35329942625,0.08043074897985389
2022-06-23,0.15842623302358827,1399,21085.876953125,26188097173,0.05100751204163014
2022-06-24,0.13346608391608392,286,21231.65625,24957784918,0.051003476206249274
2022-06-25,0.17270470957613815,1274,21502.337890625,18372538715,0.03799964043703856
2022-06-26,0.18049012578616352,1590,21027.294921875,18027170497,0.02853253723983073
2022-06-28,0.17152171189979123,479,20280.634765625,21381535161,0.030463191136519997
2022-06-29,0.169712106918239,1908,20104.0234375,23552740328,0.027268423535235054
2022-07-02,0.16879344660194176,412,19242.255859375,18100418740,0.008596142048749278
2022-07-03,0.17999360222531294,719,19297.076171875,16390821947,0.010472679876369056
2022-07-11,0.1517679775280899,356,19970.556640625,24150249025,0.03199771765502935
2022-07-12,0.18947827442827442,962,19323.9140625,25810220018,0.034083330514765114
2022-07-13,0.1243799872530274,1569,20212.07421875,33042430345,0.03868383912021947
2022-07-14,0.17705285002767018,1807,20569.919921875,31158743333,0.032099371323962934
2022-07-15,0.20305420271940666,1618,20836.328125,25905575359,0.03275496528263329
2022-07-16,0.1660546081504702,1595,21190.31640625,24302954056,0.033826883669488154
2022-07-17,0.1704191340782123,716,20779.34375,22927802083,0.03195467065843295
2022-08-30,0.1404632743362832,678,19796.80859375,34483360283,0.030104522365492922
2022-08-31,0.15016403631284916,1432,20049.763671875,33225232872,0.03148510483069318
2022-09-01,0.16283210818307906,1442,20127.140625,30182031010,0.03099447369151632
2022-09-02,0.1593741391941392,1365,19969.771484375,29123998928,0.02079953812000776
2022-09-03,0.1568719512195122,738,19832.087890625,23613051457,0.020573361034246895
2022-09-04,0.12563558718861212,281,19986.712890625,25245861652,0.018740848308492146
2022-09-11,0.16939430147058823,544,21769.255859375,34493951963,0.047141052612456893
2022-09-12,0.18579709543568465,1446,22370.44921875,50212088965,0.04631867186203168
2022-09-13,0.1451715214564369,1538,20296.70703125,51091116622,0.05827376790414901
2022-09-14,0.16404669009958991,1707,20241.08984375,37872380889,0.058244378505873814
2022-10-09,0.16652403258655804,491,19446.42578125,16837262532,0.02168120916617786
2022-10-10,0.1676470588235294,1224,19141.484375,27425022774,0.0188456247769382
2022-10-11,0.1625943811693242,1317,19051.41796875,28711532910,0.00721448402560885
2022-10-12,0.15294004149377594,1446,19157.4453125,24950173846,0.00915477386445311
2022-10-13,0.17344346405228758,918,19382.904296875,44219840004,0.011447253055052915
2022-10-14,0.16981059701492537,670,19185.65625,38452356727,0.009484414014928689
2022-10-15,0.1393505617977528,1246,19067.634765625,16192235532,0.00944985473622145
2022-11-07,0.16658413098236774,794,20602.81640625,53510852236,0.02222655793246645
2022-11-08,0.08075136778115502,658,18541.271484375,118992465607,0.04425308855283531
2022-11-09,0.08950231481481481,1296,15880.7802734375,102905151606,0.06630126036482213
2022-11-10,0.15525015060240965,664,17586.771484375,83202283721,0.0846024738027203
2022-11-11,0.10263779443254818,934,17034.29296875,55871616488,0.07994691612295372
2022-11-13,0.17299393063583815,346,16353.365234375,27209183682,0.07867267183983083
2022-11-14,0.1326473035439137,649,16618.19921875,49630243054,0.0806603988533312
2022-11-15,0.11872128869235629,1583,16884.61328125,36599436183,0.0749601107301378
2022-11-16,0.10915358744394618,1784,16669.439453125,33925512989,0.04772993331357499
2022-11-20,0.1265788778877888,303,16291.83203125,21313378652,0.01479471726349919
2022-11-21,0.12284086206896551,1160,15787.2841796875,37429485518,0.01658549061556035
2022-12-24,0.20390953846153848,325,16847.755859375,9744636213,0.014204135736724468
2022-12-25,0.1474809692671395,846,16841.986328125,11656379938,0.014161503771872527
2022-12-26,0.191009375,32,16919.8046875,11886957804,0.011153736547626485
2022-12-27,0.1462021966527197,956,16717.173828125,15748580239,0.005603180192814151
2023-01-06,0.17212727272727274,231,16951.96875,14413662913,0.005088820701779987
2023-01-07,0.13650848484848485,1155,16955.078125,7714767174,0.004503798831719214
2023-01-08,0.18273813953488371,215,17091.14453125,9768827914,0.004817335231103996
